文件路径,组件类型,父组件,导入的API函数,URL,说明,来自子组件,子组件路径,导入的组件,是否有API调用
"yxxtOld/index","2级路由","","viewXsxxBd","/yxxt/v3/xgYxXsxx/bd/view","viewXsxxBd","","","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","yxInfoTop","/yxxt/v3/xgYxXxfb/list","yxInfoTop","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getxgJczyQrcode","/jczy/v3/xgJczyQrcode/generate","getxgJczyQrcode","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getFormData","/business/v3/form/def/getFormData","通过formkey获取表单定义数据@param {} paramsexport function getFormDataByFormKey(params) {return request({url: FORM_URL() + '/form/def/getFormDataByFormKey',method: 'get',params})}获取表单定义数据@param {} params","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryfwsz","/yxxt/v3/xgYxXsfwsz/query","queryfwsz","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getgrInfo","/yxxt/v3/xgYxXsxx/view","getgrInfo","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","getwcqk","/yxxt/v3/xgYxXsfwbl/wcqk","getwcqk","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryQyfwkp","/yxxt/v3/xgYxXsfwkpsz/queryQyfwkp","queryQyfwkp","home","/views/modules/yxxtOld/components/home.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryZxwt","/yxxt/v3/xgYxZxwt/query","queryZxwt","commonProblem","/views/modules/yxxtOld/components/commonProblem.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","queryPageList","/platform/v3/system/news/query","查询列表数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","remove","/platform/v3/system/news/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/system/news/query',method: 'post',data: params})}删除数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","save","/platform/v3/system/news/save","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/system/news/remove',method: 'post',isLoading: true,params: params})}保存数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","saveDraft","/platform/v3/system/news/saveDraft","保存数据@param {} paramsexport function save(params) {return request({url: SYSTEM_URL() + '/system/news/save',method: 'post',isLoading: true,data: params})}保存草稿数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","get","/platform/v3/system/news/get","保存草稿数据@param {} paramsexport function saveDraft(params) {return request({url: SYSTEM_URL() + '/system/news/saveDraft',method: 'post',isLoading: true,data: params})}获取数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","load","/platform/v3/employee/load","获取数据@param {} paramsexport function get(params, isLoading = false) {return request({url: ORG_URL() + '/employee/get',method: 'get',params,isLoading})}获取数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
"yxxtOld/index","2级路由","","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","index","/views/platform/notice/index.vue","home, commonProblem, index, newStudentRegistrationForm","是"
